Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F59.2	Neg_Stool	0.742757822697692	0.257242177302308	0.257242177302308	NA	NA	NA	0.257242177302308
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F63.1	Neg_Stool	0.854942001651685	0.145057998348315	0.145057998348315	NA	NA	NA	0.145057998348315
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F03.1	Pos_Stool	0.62964723645811	0.00606434363272685	0.188298920484651	0.182053843057239	0.182234576851924	0.364288419909163	0.37035276354189
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F11.2	Pos_Stool	0.000618980513749807	0.000618980513749807	0.0430542869592451	0.956326732527005	0.0424353064454953	0.9987620389725	0.99938101948625
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F33.2	Pos_Stool	0.527316403332857	0.036637964424543	0.0854187951085214	0.387264801558622	0.0487808306839785	0.4360456322426	0.472683596667143
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F36.2	Pos_Stool	0.677841166188907	0.00110321555325193	0.0303053709913238	0.291853462819769	0.0292021554380719	0.321055618257841	0.322158833811093
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F46.2	Pos_Stool	0.445886846599421	0.0014732477873402	0.380954091793259	0.17315906160732	0.379480844005918	0.552639905613239	0.554113153400579
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F47.2	Pos_Stool	0.754156674458915	0.0218969606064478	0.152558940807858	0.0932843847332273	0.13066198020141	0.223946364934638	0.245843325541085
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F48.2	Pos_Stool	0.937778690729373	0.0297582141850817	0.0518534290832382	0.010367880187389	0.0220952148981565	0.0324630950855455	0.0622213092706272
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F49.2	Pos_Stool	0.896642357475692	0.00588715185423574	0.020807201298704	0.0825504412256041	0.0149200494444683	0.0974704906700723	0.103357642524308
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F49.3	Pos_Stool	0.450692855984795	0.0391203834831884	0.0782407669663769	0.471066377048828	0.0391203834831884	0.510186760532017	0.549307144015205
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F50.1	Pos_Stool	0.0397357041517641	0.0397357041517641	0.0794714083035282	0.880792887544708	0.0397357041517641	0.920528591696472	0.960264295848236
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F50.2	Pos_Stool	0.526300561133266	0.00273735246268193	0.045474848207963	0.428224590658771	0.0427374957452811	0.470962086404052	0.473699438866734
